Index,Action,TimeStamp,Object,// Reference is Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordStart,2021-02-24T11:06:02.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordEnd,2021-02-24T11:07:02.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,recordName,5b3f5d2c-9ea0-47a6-aa35-7551cfdaa330.mp4,collectedData,[accData,[accDate,2021-02-24T11:06:02.117,accInterval,0.1,accXyz,[x,-0.062249243,y,-0.18674773,z,9.787796020507812],degree,0,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:02.422,accInterval,0.4,accXyz,[x,-0.064643443,y,-0.18674773,z,9.790189743041992],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:02.721,accInterval,0.7,accXyz,[x,-0.067037649,y,-0.18674773,z,9.785401344299316],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:03.046,accInterval,1,accXyz,[x,-0.047884032,y,-0.189141929,z,9.799766540527344],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:03.341,accInterval,1.3,accXyz,[x,-0.079008654,y,-0.177170932,z,9.794978141784668],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:03.624,accInterval,1.6,accXyz,[x,-0.064643443,y,-0.189141929,z,9.811738014221191],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:03.942,accInterval,1.9,accXyz,[x,-0.062249243,y,-0.179565132,z,9.809343338012695],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:04.224,accInterval,2.2,accXyz,[x,-0.071826048,y,-0.191536129,z,9.806949615478516],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:04.561,accInterval,2.5,accXyz,[x,-0.079008654,y,-0.18435353,z,9.821314811706543],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:04.840,accInterval,2.8,accXyz,[x,-0.069431849,y,-0.189141929,z,9.821314811706543],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:05.134,accInterval,3.1,accXyz,[x,-0.059855044,y,-0.18435353,z,9.840468406677246],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:05.657,accInterval,3.6,accXyz,[x,-0.059855044,y,-0.179565132,z,9.816526412963867],degree,359.9254683,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:06.058,accInterval,4,accXyz,[x,-0.071826048,y,-0.193930343,z,9.823708534240723],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:06.224,accInterval,4.2,accXyz,[x,-0.076614454,y,-0.177170932,z,9.845256805419922],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:06.461,accInterval,4.4,accXyz,[x,-0.081402861,y,-0.18674773,z,9.823708534240723],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:06.785,accInterval,4.8,accXyz,[x,-0.064643443,y,-0.181959331,z,9.830891609191895],degree,359.9290881,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:07.095,accInterval,5.1,accXyz,[x,-0.057460841,y,-0.181959331,z,9.842862129211426],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:07.374,accInterval,5.4,accXyz,[x,-0.069431849,y,-0.181959331,z,9.83568000793457],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:07.655,accInterval,5.6,accXyz,[x,-0.076614454,y,-0.191536129,z,9.83807373046875],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:07.787,accInterval,5.8,accXyz,[x,-0.052672438,y,-0.174776718,z,9.826103210449219],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:08.105,accInterval,6.1,accXyz,[x,-0.057460841,y,-0.179565132,z,9.821314811706543],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:08.419,accInterval,6.4,accXyz,[x,-0.057460841,y,-0.193930343,z,9.823708534240723],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:08.742,accInterval,6.7,accXyz,[x,-0.067037649,y,-0.189141929,z,9.833285331726074],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:09.024,accInterval,7,accXyz,[x,-0.071826048,y,-0.177170932,z,9.828496932983398],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:09.277,accInterval,7.3,accXyz,[x,-0.059855044,y,-0.179565132,z,9.80216121673584],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:09.503,accInterval,7.5,accXyz,[x,-0.057460841,y,-0.18674773,z,9.842862129211426],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:09.815,accInterval,7.8,accXyz,[x,-0.062249243,y,-0.217872351,z,9.991303443908691],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:10.164,accInterval,8.2,accXyz,[x,-0.04309563,y,-0.177170932,z,9.842862129211426],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:10.462,accInterval,8.4,accXyz,[x,-0.10295067,y,-0.198718742,z,9.816526412963867],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:10.701,accInterval,8.7,accXyz,[x,-0.059855044,y,-0.181959331,z,9.842862129211426],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:11.044,accInterval,9,accXyz,[x,-0.074220255,y,-0.18674773,z,9.840468406677246],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:11.317,accInterval,9.3,accXyz,[x,-0.105344877,y,-0.189141929,z,9.828496932983398],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:11.629,accInterval,9.6,accXyz,[x,-0.057460841,y,-0.18435353,z,9.845256805419922],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:11.903,accInterval,9.9,accXyz,[x,-0.095768064,y,-0.16759412,z,9.792584419250488],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:12.211,accInterval,10.2,accXyz,[x,-0.062249243,y,-0.191536129,z,9.847650527954102],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:12.578,accInterval,10.6,accXyz,[x,-0.129286885,y,-0.126892686,z,9.818920135498047],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:12.825,accInterval,10.8,accXyz,[x,-0.055066638,y,-0.198718742,z,9.857227325439453],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:13.133,accInterval,11.1,accXyz,[x,-0.076614454,y,-0.179565132,z,9.854833602905273],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:13.422,accInterval,11.4,accXyz,[x,-0.181959331,y,-0.189141929,z,9.759065628051758],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:13.716,accInterval,11.7,accXyz,[x,-0.050278235,y,-0.198718742,z,9.854833602905273],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:14.045,accInterval,12,accXyz,[x,-0.129286885,y,-0.256179571,z,10.206781387329102],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:14.360,accInterval,12.3,accXyz,[x,-0.067037649,y,-0.198718742,z,9.828496932983398],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:14.613,accInterval,12.6,accXyz,[x,-0.215478152,y,-0.241814375,z,10.055946350097656],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:14.910,accInterval,12.9,accXyz,[x,-0.067037649,y,-0.189141929,z,9.833285331726074],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:15.219,accInterval,13.2,accXyz,[x,0.241814375,y,-0.055066638,z,9.514857292175293],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:15.499,accInterval,13.5,accXyz,[x,-0.057460841,y,-0.18435353,z,9.842862129211426],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:15.854,accInterval,13.8,accXyz,[x,-0.081402861,y,-0.282515794,z,9.919476509094238],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:16.118,accInterval,14.1,accXyz,[x,-0.059855044,y,-0.18674773,z,9.850045204162598],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:16.428,accInterval,14.4,accXyz,[x,-0.095768064,y,-0.189141929,z,9.845256805419922],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:16.697,accInterval,14.7,accXyz,[x,-0.050278235,y,-0.160411507,z,9.85962200164795],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:17.029,accInterval,15,accXyz,[x,0.517147541,y,0.023942016,z,10.630555152893066],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:17.336,accInterval,15.3,accXyz,[x,-0.074220255,y,-0.18674773,z,9.857227325439453],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:17.601,accInterval,15.6,accXyz,[x,-0.076614454,y,-0.198718742,z,9.8691987991333],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:17.910,accInterval,15.9,accXyz,[x,-0.045489833,y,-0.181959331,z,9.881169319152832],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:18.214,accInterval,16.2,accXyz,[x,-0.064643443,y,-0.16759412,z,9.876380920410156],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:18.596,accInterval,16.6,accXyz,[x,-0.124498487,y,-0.191536129,z,9.933841705322266],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:18.872,accInterval,16.9,accXyz,[x,-0.059855044,y,-0.18674773,z,9.87159252166748],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:19.109,accInterval,17.1,accXyz,[x,-0.138863698,y,-0.244208574,z,9.83807373046875],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:19.398,accInterval,17.4,accXyz,[x,-0.047884032,y,-0.191536129,z,9.873987197875977],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:19.774,accInterval,17.8,accXyz,[x,-0.062249243,y,-0.162805721,z,9.866804122924805],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:20.120,accInterval,18.1,accXyz,[x,-0.08379706,y,-0.177170932,z,9.876380920410156],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:20.358,accInterval,18.3,accXyz,[x,-0.067037649,y,-0.191536129,z,9.857227325439453],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:20.599,accInterval,18.6,accXyz,[x,-0.064643443,y,-0.169988319,z,9.864410400390625],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:20.942,accInterval,18.9,accXyz,[x,-0.081402861,y,-0.177170932,z,9.878775596618652],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:21.257,accInterval,19.2,accXyz,[x,-0.059855044,y,-0.191536129,z,9.864410400390625],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:21.519,accInterval,19.5,accXyz,[x,-0.067037649,y,-0.18435353,z,9.854833602905273],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:21.886,accInterval,19.9,accXyz,[x,-0.071826048,y,-0.191536129,z,9.862015724182129],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:22.261,accInterval,20.2,accXyz,[x,-0.086191259,y,-0.181959331,z,9.87159252166748],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:22.465,accInterval,20.5,accXyz,[x,-0.426167905,y,-0.682347476,z,7.498939037322998],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:22.773,accInterval,20.8,accXyz,[x,-0.062249243,y,-0.191536129,z,9.850045204162598],degree,0,,,,,,,,,,,,,,,,,,,,
accDate,2021-02-24T11:06:23.094,accInterval,21.1,accXyz,[x,-0.18435353,y,-0.169988319,z,9.87159252166748],degree,0,,,,,,,,,,,,,,,,,,,,
